脱敏客户ID,付款时间,支付金额
cumid138,2023-09-03 21:53:19,18.95
cumid139,2023-09-03 21:57:20,19.9
cumid140,2023-09-03 22:10:07,25.4
cumid141,2023-09-03 22:16:36,18.92
cumid142,2023-09-03 22:21:53,19.08
cumid143,2023-09-03 22:23:07,19.55
cumid144,2023-09-03 22:34:13,19.09
cumid145,2023-09-03 22:45:12,19.54
cumid146,2023-09-03 22:47:35,18.72
cumid147,2023-09-03 22:58:00,19.24
cumid148,2023-09-03 23:04:06,19.89
cumid149,2023-09-03 23:13:21,31.42
cumid150,2023-09-03 23:26:24,115.82
cumid151,2023-09-03 23:33:34,20.09
cumid152,2023-09-03 23:41:44,25.88
cumid153,2023-09-04 00:31:00,211.58
cumid154,2023-09-04 08:05:25,26.27
cumid155,2023-09-04 08:24:20,115.27
cumid156,2023-09-04 09:04:08,10.02
cumid157,2023-09-04 09:08:36,117.25
cumid158,2023-09-04 09:12:08,9.64
cumid159,2023-09-04 09:14:07,18.88
cumid160,2023-09-04 09:14:35,19.0
cumid161,2023-09-04 09:20:43,25.41
cumid162,2023-09-04 09:21:52,19.06
cumid163,2023-09-04 09:26:36,18.77
cumid164,2023-09-04 09:27:55,18.91
cumid165,2023-09-04 09:30:46,19.97
cumid166,2023-09-04 09:31:25,19.5
cumid167,2023-09-04 09:35:05,18.95
cumid97,2023-09-04 09:42:35,19.87
cumid168,2023-09-04 09:44:57,19.89
cumid169,2023-09-04 09:48:05,19.62
cumid170,2023-09-04 09:51:20,19.77
cumid171,2023-09-04 09:52:52,10.01
cumid172,2023-09-04 09:56:23,19.39
cumid173,2023-09-04 10:10:10,18.62
cumid97,2023-09-04 10:27:42,19.53
cumid174,2023-09-04 10:28:02,18.94
cumid175,2023-09-04 10:47:06,114.14
cumid176,2023-09-04 10:49:46,9.8
cumid177,2023-09-04 10:55:31,19.57
cumid178,2023-09-04 11:06:13,19.34
cumid179,2023-09-04 11:24:58,19.05
cumid180,2023-09-04 11:25:50,19.93
cumid181,2023-09-04 11:34:59,9.45
cumid182,2023-09-04 11:36:10,118.76
cumid183,2023-09-04 11:41:42,17.63
cumid185,2023-09-04 11:47:46,179.42
cumid186,2023-09-04 11:50:23,19.97
cumid187,2023-09-04 11:59:54,19.21
cumid188,2023-09-04 12:02:25,20.15
cumid97,2023-09-04 12:04:48,18.71
cumid189,2023-09-04 12:06:23,20.0
cumid190,2023-09-04 12:11:01,119.35
cumid191,2023-09-04 12:15:47,19.56
cumid192,2023-09-04 12:28:43,19.24
cumid193,2023-09-04 12:36:37,19.35
cumid194,2023-09-04 12:59:57,20.21
cumid195,2023-09-04 13:00:31,99.92
cumid196,2023-09-04 13:09:28,105.21
cumid197,2023-09-04 13:21:22,19.16
cumid198,2023-09-04 13:35:24,18.8
cumid199,2023-09-04 13:37:48,18.88
cumid200,2023-09-04 14:00:50,19.59
cumid201,2023-09-04 14:05:50,20.25
cumid202,2023-09-04 14:13:30,19.52
cumid203,2023-09-04 14:14:07,19.86
cumid204,2023-09-04 14:28:03,18.88
cumid205,2023-09-04 14:29:48,116.75
cumid206,2023-09-04 14:32:34,19.18
cumid207,2023-09-04 14:32:36,19.64
cumid208,2023-09-04 14:35:01,18.75
cumid209,2023-09-04 14:35:24,19.2
cumid210,2023-09-04 14:36:04,9.54
cumid211,2023-09-04 14:36:07,18.92
cumid212,2023-09-04 14:43:11,18.64
cumid213,2023-09-04 14:45:15,18.8
cumid214,2023-09-04 14:47:01,19.86
cumid215,2023-09-04 14:47:49,19.89
cumid216,2023-09-04 14:49:00,20.17
cumid217,2023-09-04 14:53:20,19.68
cumid218,2023-09-04 14:57:09,19.55
cumid219,2023-09-04 15:00:03,18.66
cumid220,2023-09-04 15:03:42,19.22
cumid221,2023-09-04 15:04:15,19.15
cumid222,2023-09-04 15:05:12,19.87
cumid223,2023-09-04 15:08:55,19.51
cumid224,2023-09-04 16:05:54,109.25
cumid225,2023-09-04 16:11:32,19.87
cumid226,2023-09-04 16:16:47,20.2
cumid227,2023-09-04 16:17:26,19.62
cumid228,2023-09-04 16:18:08,18.84
cumid229,2023-09-04 16:20:50,19.71
cumid230,2023-09-04 16:27:10,19.78
cumid231,2023-09-04 16:33:17,19.44
cumid232,2023-09-04 16:58:17,207.03
cumid233,2023-09-04 17:04:05,9.8
cumid234,2023-09-04 17:12:02,9.77
cumid235,2023-09-04 17:14:06,124.0
cumid236,2023-09-04 17:20:27,29.96
cumid237,2023-09-04 17:20:43,19.95
cumid238,2023-09-04 18:05:09,9.32
cumid239,2023-09-04 18:06:23,9.35
cumid240,2023-09-04 18:13:32,19.24
cumid241,2023-09-04 18:21:08,50.26
cumid242,2023-09-04 18:24:38,19.14
cumid243,2023-09-04 18:29:48,18.65
cumid244,2023-09-04 18:37:34,18.91
cumid245,2023-09-04 19:00:20,18.68
cumid246,2023-09-04 19:05:19,19.55
cumid247,2023-09-04 19:14:19,24.78
cumid249,2023-09-04 20:24:02,20.08
cumid250,2023-09-04 20:32:43,125.88
cumid251,2023-09-04 21:00:29,24.92
cumid252,2023-09-04 21:03:18,45.5
cumid253,2023-09-04 21:18:47,15.53
cumid254,2023-09-04 21:29:01,17.36
cumid255,2023-09-04 21:33:49,101.91
cumid255,2023-09-04 21:41:13,9.95
cumid256,2023-09-04 22:00:38,28.62
cumid257,2023-09-04 22:14:08,9.67
cumid258,2023-09-04 23:46:12,37.82
cumid259,2023-09-05 00:48:54,101.29
cumid260,2023-09-05 01:05:01,103.11
cumid261,2023-09-05 04:55:37,43.1
cumid262,2023-09-05 05:57:00,10.0
cumid263,2023-09-05 08:56:37,17.48
cumid264,2023-09-05 09:13:22,114.99
cumid265,2023-09-05 09:18:58,10.0
cumid265,2023-09-05 09:24:34,119.63
cumid266,2023-09-05 09:57:17,39.4
cumid267,2023-09-05 10:17:58,9.48
cumid268,2023-09-05 10:24:28,20.1
cumid269,2023-09-05 10:45:51,17.64
cumid270,2023-09-05 11:25:38,9.51
cumid271,2023-09-05 11:34:35,25.33
cumid272,2023-09-05 12:56:18,9.46
cumid273,2023-09-05 13:14:29,120.76
cumid274,2023-09-05 13:26:54,9.65
cumid275,2023-09-05 13:56:13,103.54
cumid276,2023-09-05 14:51:49,37.96
cumid277,2023-09-05 15:17:13,25.8
cumid278,2023-09-05 16:12:14,121.41
cumid279,2023-09-05 16:23:11,112.62
cumid280,2023-09-05 17:58:53,29.93
cumid281,2023-09-05 18:12:22,38.06
cumid282,2023-09-05 19:24:42,9.43
cumid283,2023-09-05 19:42:26,108.38
cumid284,2023-09-05 19:48:23,16.91
cumid285,2023-09-05 19:49:24,108.99
cumid286,2023-09-05 20:01:26,128.31
cumid287,2023-09-05 20:16:49,9.51
cumid288,2023-09-05 20:33:10,9.96
cumid289,2023-09-05 20:36:09,111.98
cumid290,2023-09-05 21:41:33,115.31
cumid291,2023-09-05 21:42:55,219.25
cumid292,2023-09-05 21:54:14,39.17
cumid293,2023-09-05 22:16:14,9.31
cumid294,2023-09-05 22:24:20,44.75
cumid295,2023-09-05 22:39:09,18.9
cumid296,2023-09-05 23:03:47,19.28
cumid297,2023-09-05 23:32:11,118.07
cumid298,2023-09-06 00:49:13,9.58
cumid299,2023-09-06 01:39:06,116.39
cumid300,2023-09-06 07:19:30,19.15
cumid301,2023-09-06 07:59:19,9.56
cumid302,2023-09-06 08:34:02,9.4
cumid303,2023-09-06 09:20:17,24.67
cumid304,2023-09-06 09:27:00,38.56
cumid305,2023-09-06 09:50:03,80.88
cumid306,2023-09-06 10:02:43,24.64
cumid307,2023-09-06 10:09:11,18.62
cumid308,2023-09-06 10:22:39,38.4
cumid309,2023-09-06 10:50:31,24.36
cumid310,2023-09-06 10:59:55,9.28
cumid311,2023-09-06 11:18:34,207.84
cumid312,2023-09-06 11:59:44,9.41
cumid313,2023-09-06 12:13:59,16.9
cumid314,2023-09-06 12:32:08,9.5
cumid315,2023-09-06 12:34:10,117.5
cumid316,2023-09-06 12:50:54,103.48
cumid317,2023-09-06 13:23:16,114.32
cumid318,2023-09-06 14:33:01,18.9
cumid319,2023-09-06 14:33:14,18.74
cumid320,2023-09-06 14:35:01,18.71
cumid321,2023-09-06 14:35:49,19.06
cumid322,2023-09-06 14:39:23,19.04
cumid323,2023-09-06 14:40:31,19.18
cumid324,2023-09-06 14:44:02,19.66
cumid325,2023-09-06 14:45:46,19.84
cumid326,2023-09-06 14:48:54,110.73
cumid327,2023-09-06 14:54:14,18.67
cumid328,2023-09-06 15:05:57,9.27
cumid329,2023-09-06 15:12:08,19.53
cumid330,2023-09-06 15:27:23,19.34
cumid331,2023-09-06 15:31:36,102.83
cumid332,2023-09-06 15:46:26,10.01
cumid333,2023-09-06 15:47:32,19.04
cumid334,2023-09-06 15:52:09,19.37
cumid335,2023-09-06 15:57:29,18.85
cumid336,2023-09-06 16:04:16,19.66
cumid337,2023-09-06 16:04:35,19.69
cumid338,2023-09-06 16:08:50,19.52
cumid339,2023-09-06 16:09:17,18.79
cumid340,2023-09-06 16:32:42,18.54
cumid341,2023-09-06 16:35:12,19.21
cumid342,2023-09-06 16:36:40,19.32
cumid343,2023-09-06 16:40:26,20.08
cumid344,2023-09-06 16:50:17,18.99
cumid345,2023-09-06 16:52:16,19.12
cumid346,2023-09-06 17:11:15,19.48
cumid347,2023-09-06 17:13:03,18.55
cumid348,2023-09-06 17:14:26,19.79
cumid349,2023-09-06 17:20:35,19.88
cumid350,2023-09-06 17:24:45,120.84
cumid351,2023-09-06 17:41:19,18.82
cumid352,2023-09-06 17:47:12,58.92
cumid353,2023-09-06 17:50:23,19.85
cumid354,2023-09-06 18:06:12,20.09
cumid355,2023-09-06 18:09:40,24.26
cumid356,2023-09-06 18:16:35,19.61
cumid357,2023-09-06 18:33:36,212.64
cumid358,2023-09-06 18:59:35,20.12
cumid359,2023-09-06 19:00:24,18.74
cumid360,2023-09-06 19:04:05,18.7
cumid361,2023-09-06 19:04:40,19.21
cumid362,2023-09-06 19:43:03,18.56
cumid363,2023-09-06 19:51:11,107.63
cumid364,2023-09-06 20:10:36,26.27
cumid365,2023-09-06 20:17:12,39.72
cumid366,2023-09-06 20:26:39,19.29
cumid367,2023-09-06 20:28:47,25.42
cumid368,2023-09-06 20:43:16,19.11
cumid369,2023-09-06 20:45:33,20.15
cumid370,2023-09-06 20:58:40,9.48
cumid371,2023-09-06 21:02:04,19.87
cumid372,2023-09-06 21:18:33,16.93
cumid373,2023-09-06 21:21:42,19.57
cumid374,2023-09-06 21:27:26,19.57
cumid375,2023-09-06 21:28:49,38.16
cumid376,2023-09-06 21:38:37,641.38
cumid377,2023-09-06 21:42:38,19.13
cumid378,2023-09-06 21:56:17,19.4
cumid379,2023-09-06 22:03:19,19.37
cumid380,2023-09-06 22:10:22,24.77
cumid381,2023-09-06 22:13:14,18.61
cumid382,2023-09-06 22:17:11,25.71
cumid383,2023-09-06 22:49:15,19.76
cumid384,2023-09-06 22:51:52,24.24
cumid385,2023-09-06 23:02:01,18.92
cumid386,2023-09-06 23:12:45,18.56
cumid387,2023-09-06 23:20:12,9.55
cumid388,2023-09-07 00:02:23,122.32
cumid389,2023-09-07 00:08:23,112.4
cumid390,2023-09-07 00:12:07,19.54
cumid391,2023-09-07 00:13:00,18.79
cumid392,2023-09-07 00:29:21,208.75
cumid393,2023-09-07 00:54:19,129.6
cumid221,2023-09-07 01:03:04,18.91
cumid394,2023-09-07 01:07:41,101.05
cumid395,2023-09-07 01:53:13,18.93
cumid396,2023-09-07 02:12:48,19.85
cumid397,2023-09-07 08:16:38,226.95
cumid398,2023-09-07 08:34:10,19.2
cumid399,2023-09-07 08:35:43,19.79
cumid400,2023-09-07 08:57:43,111.91
cumid401,2023-09-07 08:58:36,113.96
cumid402,2023-09-07 09:16:54,113.7
cumid403,2023-09-07 09:17:24,112.17
cumid50,2023-09-07 09:17:50,117.02
cumid404,2023-09-07 09:18:59,110.91
cumid405,2023-09-07 09:21:31,121.4
cumid406,2023-09-07 09:24:26,113.09
cumid407,2023-09-07 09:35:37,29.85
cumid408,2023-09-07 09:37:33,24.49
cumid409,2023-09-07 09:45:13,109.88
cumid410,2023-09-07 09:45:13,108.58
cumid411,2023-09-07 09:51:37,18.5
cumid412,2023-09-07 09:56:32,19.15
cumid413,2023-09-07 09:56:39,9.27
cumid414,2023-09-07 10:03:52,115.51
cumid415,2023-09-07 10:36:43,113.53
cumid416,2023-09-07 10:38:29,107.12
cumid417,2023-09-07 10:43:29,18.98
cumid418,2023-09-07 10:47:53,109.67
cumid419,2023-09-07 11:15:11,113.68
cumid420,2023-09-07 11:26:41,19.91
cumid421,2023-09-07 11:36:15,19.8
cumid422,2023-09-07 11:51:16,19.37
cumid423,2023-09-07 11:58:15,18.74
cumid424,2023-09-07 12:07:45,9.88
cumid425,2023-09-07 12:17:41,110.23
cumid426,2023-09-07 12:20:45,116.99
cumid427,2023-09-07 12:49:11,40.12
cumid428,2023-09-07 12:56:17,25.96
cumid97,2023-09-07 13:12:54,111.97
cumid429,2023-09-07 13:13:38,113.43
cumid430,2023-09-07 13:22:53,110.8
cumid431,2023-09-07 13:36:43,112.7
cumid432,2023-09-07 13:44:37,113.42
cumid433,2023-09-07 14:11:50,18.74
cumid434,2023-09-07 14:31:40,116.65
cumid435,2023-09-07 14:36:50,113.97
cumid43,2023-09-07 14:38:42,109.72
cumid436,2023-09-07 14:47:40,110.76
cumid437,2023-09-07 15:03:16,99.19
cumid438,2023-09-07 15:09:29,19.03
cumid439,2023-09-07 15:29:48,9.62
cumid440,2023-09-07 15:36:18,108.7
cumid441,2023-09-07 15:51:28,113.84
cumid442,2023-09-07 15:54:21,99.29
cumid443,2023-09-07 16:41:37,111.36
cumid444,2023-09-07 16:44:45,114.81
cumid445,2023-09-07 16:56:39,19.11
cumid446,2023-09-07 17:11:29,37.78
cumid447,2023-09-07 17:47:49,9.67
cumid448,2023-09-07 17:50:28,9.55
cumid449,2023-09-07 18:50:36,19.71
cumid450,2023-09-07 18:59:20,120.63
cumid451,2023-09-07 19:08:01,9.84
cumid452,2023-09-07 19:32:42,112.95
cumid453,2023-09-07 20:14:05,25.77
cumid454,2023-09-07 20:31:06,118.11
cumid455,2023-09-07 20:54:40,18.49
cumid456,2023-09-07 21:53:38,38.43
cumid457,2023-09-07 22:25:24,17.75
cumid458,2023-09-07 22:29:28,25.06
cumid459,2023-09-07 22:47:02,101.5
cumid460,2023-09-07 23:06:46,25.45
cumid461,2023-09-07 23:19:33,20.13
cumid122,2023-09-07 23:21:26,19.2
cumid462,2023-09-07 23:55:09,105.52
cumid463,2023-09-07 23:55:14,19.48
cumid464,2023-09-08 00:42:34,20.1
cumid261,2023-09-08 00:44:28,115.52
cumid465,2023-09-08 01:07:39,19.77
cumid466,2023-09-08 01:30:26,18.76
cumid467,2023-09-08 04:05:46,18.95
cumid468,2023-09-08 07:30:29,20.15
cumid469,2023-09-08 07:55:41,19.11
cumid470,2023-09-08 08:24:18,19.75
cumid471,2023-09-08 09:02:34,19.54
cumid472,2023-09-08 09:23:11,37.98
cumid473,2023-09-08 09:53:02,20.05
cumid474,2023-09-08 10:02:14,17.69
cumid475,2023-09-08 10:07:36,18.82
cumid476,2023-09-08 10:07:54,94.86
cumid477,2023-09-08 10:33:28,19.76
cumid478,2023-09-08 10:40:30,17.16
cumid479,2023-09-08 10:57:44,18.93
cumid480,2023-09-08 11:24:59,113.87
cumid481,2023-09-08 11:49:19,18.56
cumid482,2023-09-08 12:14:26,9.54
cumid483,2023-09-08 12:29:15,122.57
cumid484,2023-09-08 12:45:05,20.01
cumid67,2023-09-08 12:49:58,109.02
cumid485,2023-09-08 12:51:53,25.63
cumid486,2023-09-08 13:11:49,24.53
cumid487,2023-09-08 13:13:15,25.7
cumid488,2023-09-08 13:40:44,18.82
cumid489,2023-09-08 14:02:40,30.38
cumid490,2023-09-08 14:38:02,36.03
cumid491,2023-09-08 15:13:55,26.1
cumid492,2023-09-08 15:48:58,10.05
cumid493,2023-09-08 16:20:47,37.89
cumid494,2023-09-08 16:49:46,17.46
cumid495,2023-09-08 17:14:09,9.35
cumid496,2023-09-08 17:31:03,127.71
cumid497,2023-09-08 18:30:30,24.79
cumid498,2023-09-08 18:59:33,107.09
cumid499,2023-09-08 19:08:47,126.58
cumid500,2023-09-08 19:19:55,112.11
cumid428,2023-09-08 19:34:58,94.37
cumid501,2023-09-08 20:13:32,40.14
cumid502,2023-09-08 20:57:05,111.64
cumid503,2023-09-08 21:13:49,9.31
cumid504,2023-09-08 21:15:36,112.42
cumid505,2023-09-08 21:15:50,100.47
cumid506,2023-09-08 21:35:40,17.48
cumid507,2023-09-08 21:59:35,44.32
cumid508,2023-09-08 22:56:19,10.03
cumid509,2023-09-08 23:25:15,37.98
cumid510,2023-09-08 23:49:32,24.49
cumid511,2023-09-08 23:54:58,103.67
cumid512,2023-09-09 00:00:22,9.83
cumid513,2023-09-09 00:01:08,150.43
cumid514,2023-09-09 00:02:38,19.43
cumid515,2023-09-09 00:09:09,116.01
cumid516,2023-09-09 00:11:12,19.87
cumid517,2023-09-09 00:13:41,109.61
cumid518,2023-09-09 00:22:45,40.1
cumid519,2023-09-09 00:22:59,9.67
cumid520,2023-09-09 00:51:58,9.72
cumid521,2023-09-09 00:56:57,24.79
cumid522,2023-09-09 01:03:28,9.32
cumid523,2023-09-09 01:34:59,100.65
cumid524,2023-09-09 01:38:59,25.93
cumid525,2023-09-09 02:44:52,9.66
cumid526,2023-09-09 07:27:48,25.37
cumid527,2023-09-09 07:44:38,25.52
cumid528,2023-09-09 08:21:19,25.38
cumid529,2023-09-09 08:38:56,127.31
cumid43,2023-09-09 08:40:00,112.07
cumid530,2023-09-09 08:55:14,19.88
cumid531,2023-09-09 08:56:01,9.71
cumid533,2023-09-09 09:28:54,97.47
cumid513,2023-09-09 09:49:31,15.1
cumid534,2023-09-09 10:04:35,10.08
cumid535,2023-09-09 10:23:42,17.03
cumid536,2023-09-09 10:27:42,112.12
cumid537,2023-09-09 11:06:22,18.19
cumid538,2023-09-09 11:33:58,208.35
cumid539,2023-09-09 11:51:25,112.47
cumid540,2023-09-09 12:17:58,39.79
cumid541,2023-09-09 12:56:58,210.31
cumid542,2023-09-09 13:26:06,9.81
cumid543,2023-09-09 13:31:50,117.94
cumid544,2023-09-09 13:44:17,9.49
cumid545,2023-09-09 13:45:29,210.07
cumid546,2023-09-09 14:05:57,9.26
cumid547,2023-09-09 14:35:31,19.49
cumid548,2023-09-09 14:40:05,9.42
cumid549,2023-09-09 14:55:38,116.65
cumid550,2023-09-09 15:09:44,40.2
cumid551,2023-09-09 15:10:42,9.28
cumid552,2023-09-09 15:52:04,39.48
cumid553,2023-09-09 16:47:18,9.37
cumid554,2023-09-09 17:21:31,9.83
cumid555,2023-09-09 18:21:54,9.78
cumid43,2023-09-09 18:23:32,45.31
cumid556,2023-09-09 18:41:58,10.0
cumid557,2023-09-09 18:46:53,9.65
cumid558,2023-09-09 18:55:08,9.6
cumid559,2023-09-09 19:05:57,9.62
cumid560,2023-09-09 19:16:48,39.72
cumid561,2023-09-09 19:43:33,105.65
cumid562,2023-09-09 19:55:59,24.21
cumid563,2023-09-09 19:59:13,124.89
cumid564,2023-09-09 20:06:21,25.94
cumid565,2023-09-09 20:11:04,9.91
cumid566,2023-09-09 20:27:04,9.5
cumid567,2023-09-09 20:32:49,9.62
cumid568,2023-09-09 21:15:49,116.1
cumid569,2023-09-09 21:16:14,9.64
cumid570,2023-09-09 21:27:35,18.86
cumid571,2023-09-09 21:27:43,19.1
cumid572,2023-09-09 21:45:54,19.61
cumid573,2023-09-09 21:50:37,122.24
cumid574,2023-09-09 22:01:49,24.82
cumid575,2023-09-09 22:04:58,19.6
cumid576,2023-09-09 22:16:50,9.86
cumid577,2023-09-09 22:17:49,202.99
cumid578,2023-09-09 22:31:40,9.34
cumid579,2023-09-09 22:42:43,210.25
cumid580,2023-09-09 22:59:17,20.02
cumid314,2023-09-09 23:12:55,97.11
cumid581,2023-09-09 23:28:10,100.69
cumid582,2023-09-09 23:29:18,622.52
cumid583,2023-09-09 23:50:46,132.19
cumid584,2023-09-10 00:40:34,9.77
cumid585,2023-09-10 01:38:12,120.32
cumid586,2023-09-10 01:39:41,9.28
cumid587,2023-09-10 06:48:15,9.82
cumid588,2023-09-10 08:16:05,108.5
cumid589,2023-09-10 08:16:59,17.81
cumid590,2023-09-10 08:17:03,9.9
cumid591,2023-09-10 09:32:34,37.81
cumid592,2023-09-10 09:34:36,112.95
cumid593,2023-09-10 10:05:10,95.65
cumid594,2023-09-10 10:26:17,25.76
cumid595,2023-09-10 10:39:11,113.37
cumid596,2023-09-10 10:47:52,101.38
cumid597,2023-09-10 11:08:01,18.88
cumid598,2023-09-10 11:28:37,25.83
cumid599,2023-09-10 11:45:46,19.23
cumid601,2023-09-10 12:07:06,115.83
cumid602,2023-09-10 12:59:12,9.45
cumid603,2023-09-10 13:23:08,110.33
cumid604,2023-09-10 13:33:26,109.48
cumid605,2023-09-10 14:01:45,45.92
cumid606,2023-09-10 15:30:46,121.13
cumid607,2023-09-10 15:44:08,30.29
cumid608,2023-09-10 15:48:40,111.97
cumid609,2023-09-10 16:36:56,39.34
cumid610,2023-09-10 17:51:55,18.69
cumid611,2023-09-10 18:04:26,18.66
cumid612,2023-09-10 18:22:53,213.25
cumid613,2023-09-10 18:29:17,60.45
cumid614,2023-09-10 18:33:06,9.52
cumid615,2023-09-10 19:01:35,20.21
cumid616,2023-09-10 19:05:28,124.2
cumid617,2023-09-10 19:42:22,63.05
cumid618,2023-09-10 19:42:48,9.79
