抿 ..-....-.---
检 -.--.---.--.
哑 ---.------..
颀 ...-.--...--
塔 ..-.-.--..-.
候 ..-.--..-.-.
于 ....-...-..-
甜 -..--.----..
契 ...-..--.-.-
颤 --...-.-.-..
栗 -.-..-...---
第 ....-.--.-..
们 -.-----.-..-
判 ....---.--.-
嗬 ..---.----..
盲 ..----.....-
朵 -..-.-.-----
荏 -.--------.-
迷 .--.--.----.
完 -..--------.
令 -..-...-----
愣 -.--..---...
屋 ---.....--.-
斯 .-----.-..-.
莽 .---....-...
祈 ..-.-..---.-
寝 -.--.---....
虑 ..-.------.-
讪 .-.-.-.---.-
样 --..-..-----
卖 ....------..
鲸 -..----..-..
慷 .--..-....-.
洪 -.-..--.----
对 ----.-.----.
蜚 -....--....-
擎 ----....--..
肆 --.-..-.---.
垫 .-.---.----.
融 ...-...--..-
飘 ---..-.--..-
绊 ..-..--..---
尔 .-.--...-.-.
讯 -...-..-..-.
悯 --..----.-..
杜 --..----....
膘 -.---.-.---.
遂 -.------.---
惋 -.--.---.---
瞟 -......----.
吨 -.--.--...--
反 -..---..----
谷 ......-..-..
忘 ..--.---..-.
架 -.--..---..-
危 ...---.-----
载 --.-------.-
靠 ..---.-.--.-
铅 ..-..----...
竟 -......--...
啥 -..-..-.....
延 .-.-.....-.-
最 ..-..--...--
梳 ---.----..--
绢 ..----.-.--.
誓 ..-...------
踪 -...-..--..-
舷 ..-.-.-.-...
辱 -.---...-..-
醉 .--.-----..-
浑 -----.-..-.-
劈 -.-....--.-.
乱 -...----.---
音 .----.--....
煦 -..--.....--
忠 -..---.-..-.
电 .....-.-.---
玫 .--.-.--..-.
渺 ..----.-.---
剧 .--.-.--.--.
模 ..---...--..
常 .-.-....--..
家 ---.-...--..
二 --...--..--.
破 -..-.-.---..
齿 .--.....--..
瞠 .-.--.-----.
牌 ---.-----.-.
室 .......-.--.
纸 -...---.---.
扭 .--.---.....
宽 -.----.----.
嗓 ------.--..-
叠 -.-....-..-.
吝 -..-.-...---
霜 --..-.-..-..
睑 .-.--..-.-.-
染 ....----.--.
惜 -.........--
跌 -.----.-.--.
粘 --..---...-.
癖 .....-------
唤 ...........-
矩 --..-...---.
貂 ...---...---
丑 -.---..-.---
本 -.-.----.-.-
请 -...--..--.-
澡 .-.--...----
晓 -.--.--.---.
弗 ..-.-..----.
压 --.-.-..--..
挥 --.....-..--
桩 -.--......-.
芮 ..-..-....-.
嗯 --...--...--
乓 --..---.....
龙 .---.-..-..-
贸 .-..-.-----.
谜 .--.--.---..
蹑 ...-..-....-
褐 .-...----.-.
凭 -.----.-----
鸡 .....--..---
唉 ...---.-.--.
牲 ...--..--.--
跚 ----..-..-.-
猛 -...-..----.
洞 .-----...-..
屏 ..-...-.---.
曝 -.-.--.-..-.
迄 .-....--....
噢 ..--..-.-.-.
冷 ..-.-...-.-.
维 ...-.---..-.
偏 .-..-..-..--
槽 ..-...-..-.-
服 -....----...
蹉 ---.-..-.--.
臾 --....--.---
丽 .-.-..-..-..
年 ...-....-.--
突 ...-...-.-..
约 ..-.-.---.-.
雌 -.-.--.--..-
刺 ..-..-.-.-.-
宇 .-...--.....
临 ---.-..--.--
妻 --.---.--...
浅 -.----..----
伴 -.-..-.--.--
也 ----.--.--..
忸 -..--..--.-.
槛 ..----.----.
片 .-.-.---..--
脑 .--....-....
鹉 .--.------..
些 .-....---.-.
湾 -.....---...
具 .-..-.------
馋 --...--.---.
缩 ...----...-.
加 -.-.-.---.--
灾 ..--...-..--
瘦 -..--.-..--.
权 ----.--..-..
括 --....-.-.-.
图 --....--..--
躇 --.---...---
杀 .-...-----..
啪 --....---.-.
狈 ..-.---.---.
蚀 .-.---......
酬 ....-..----.
汛 .....---...-
喃 ...-.---..--
辘 ---.......-.
耻 ...-.---...-
R .-..-.---...
谛 ....-.---.-.
渴 ..----.---..
膛 ..-.----....
尾 --..-.---.-.
. ...--.-....-
踵 ----...-.-..
蜡 -..-.---..-.
哀 ...-...-....
爬 ......-----.
琏 --.----..---
把 .--..--.-..-
等 .....-.-.--.
罩 .---.-...-.-
谚 ..-..-..----
浸 -.-.---.---.
慢 .---..-.....
蹲 --.-.-..-.-.
解 .----..----.
保 --.-....-...
症 --....-.....
挨 -...-.--.-..
骗 ...--..---.-
顾 ..-.-.-.-..-
枝 --..-....-..
笔 ..-....--...
栩 .-.-..----.-
畔 ..-...----..
凌 -.-.-.--....
劣 --..-..-..-.
竺 .--.-.-----.
隐 ...--..-....
艾 .....--.-.-.
宁 ...--.--.-.-
脸 .---..----.-
交 --..---.-.--
毁 ..-.------..
南 ............
s ..--.---.--.
撒 -...-.-..-..
（ ----....-...
庞 -.-...-...-.
宴 ....--.-..-.
钢 ..-..-.-.---
烫 -...--...-..
净 .---.-..---.
射 .-.--.-....-
病 ......------
群 .--.-.-.-..-
撕 .-.-..---.--
经 .-...-.....-
物 ---....--...
钟 -..--..----.
读 ...-....-.-.
熊 -...-.-.----
跃 ---.---.....
遇 .-.-.......-
躬 .---..--..--
泼 --..--.-.-.-
依 ---...-.-...
漆 .------.....
向 .-.-....-.--
院 -.--...--.--
慎 ..--.-.---.-
晴 -.--......--
纱 ...-..--.-..
瑕 ..-..---.---
井 -..--...----
鲁 -...-.------
怪 -......--.--
通 ..--.-.-...-
梁 ....-.--....
定 .--------.--
剩 .-.--.---.-.
避 --.-.----..-
医 -.---..-..--
制 -.--.-..-.--
z .--...--.-.-
遢 --.-.-.-.---
漩 -.-.-.-..--.
晒 ...-...-.-.-
符 ----.-.-.-..
瞎 -....--.-..-
扔 .----.-.---.
沾 ---...-....-
悍 --...-..--.-
硬 .-.--.--....
冤 .---.------.
士 --..--...--.
霾 -.--.----.-.
缭 ---....-.---
闲 -.-...---...
谅 ..--.-.----.
像 --..----.---
骷 .-.-.--.-.-.
欢 -.-..-----.-
摸 .--.-...-.-.
豪 -.---...-.--
著 -....--.--..
夕 .----.---..-
熬 .-.---..---.
凑 .----..--...
精 ..--.-.--.--
驶 --.-..-.-..-
币 ....-....--.
打 ...-.-...-.-
嗡 -..--......-
虽 -.-..-...-..
而 --....--.-.-
葱 ---.-.---..-
高 .-.------...
· ..-----.-..-
窄 -----..-....
近 ...-..------
溪 -.....-..--.
胀 ......---.--
远 ...---.-.-..
助 -..--.--.---
毫 ------.....-
迭 -----..--..-
膏 .-..--..-..-
拼 --.----.----
趁 -...--..---.
粹 ..-.....-.-.
吧 -.-.--.--...
束 .--..---..-.
领 ---..----.--
愠 ..-.---.-..-
治 .-...-.----.
是 -...-.--..--
唇 .-..---...--
障 -.-..--.--.-
严 -.-.--..-.--
狡 -....-----..
施 ---.-..-.---
戴 ..---..-.--.
仍 .-...-...---
侵 ..-..-...-.-
枕 -..-.-.-..-.
层 .----.-.....
枪 ..-...-.....
甭 .-.--...-..-
蓓 .--.----.-.-
运 .----..-...-
将 ..--..--..-.
代 -----.-.....
春 ......----.-
钩 .-...-.-.---
方 -.----..-.--
踩 --.-.---.--.
儿 -...-.-.---.
座 ....-.--.-.-
您 .----.-...-.
石 -..--.---...
艇 ----....--.-
涨 ..--..----..
天 ........-.-.
瑰 .....-.-....
6 ...-.....--.
寥 ..--...---.-
扒 --...--.-..-
丈 .-.-......--
凹 -..-.----.--
谋 ---.-..-.-..
胆 ...--.-.-.--
设 ..----..--..
欺 --.--..--...
博 ---..---.--.
布 ...--.-...--
株 ......-.---.
噘 ----.--.....
苔 .-...----..-
仰 ..--.-.---..
换 ..---.-.-.-.
鞭 ---.-...-...
葬 ----..-..--.
辛 ---.-.-.....
寻 .--....-.---
孔 -..-.--....-
渍 ----.----.--
震 -----..--.-.
骂 -.---..--...
与 --.-.-...---
当 ..---..-.-.-
练 --.--.------
睬 .....-..-.--
髅 -.----..-...
跳 ...-.--.---.
纤 ....---.....
遵 .-.-..---..-
胸 -.--....---.
抽 .-----..-.--
减 --.-....-.--
埃 -------.-.-.
好 ..--.-.-.---
习 .-.----..-..
昨 -...-...--..
查 --..-.....-.
找 .....-.--...
坯 ..-.-....---
憾 -..---.-.--.
翻 .-..---.....
鸟 .-.---.-.---
举 -..-..-..-.-
倒 -.-----.--..
摘 ..--.....--.
沙 -.----.-..-.
蒙 .--.--..--..
官 --....-.-.--
卷 ----.-....-.
柜 .----.-.----
姻 ..-....-...-
歉 -...-.---.-.
初 ...-.....-..
吆 ---.-.-.--.-
糠 ..--.-----.-
慕 --.-.--.-.-.
筒 ---..-------
援 ...-..-.----
植 .--...---...
帽 -.--.....-..
槁 .-.--.-...-.
3 ----..-.-.--
庄 ......-....-
镑 .----..--..-
让 --.---.-.-.-
矮 ..-..--.--..
梭 ...---.--...
热 ..---...---.
果 ...--.......
亲 --.-..------
树 ----.---.---
抹 .-.--.----..
丁 -.-.-----.-.
伊 ..-----.--.-
箭 ------.-.--.
父 --.-..-..---
啦 -.....------
菊 ..--.-....-.
灼 ..--.-...--.
妈 ---.-..-..--
游 --..-.--..--
上 ...-.-.--...
壳 .-.-.--.----
圮 ---.---..---
冥 -..---....--
挑 ---.-.-.-..-
匆 ...-..----.-
唔 .---.--..-.-
覆 .....----...
哉 ..-.-..-...-
楼 -..-.---.-.-
2 --.-.--.-.--
b -.------..--
崖 -..-.....--.
溅 .-----..-...
参 .....-....-.
陆 .---..-...-.
娘 .---.....-..
畜 -.--.--.--.-
催 -...---..-.-
啡 ..---..-..--
敷 ---..-..----
屡 ---.-.--..--
太 .-..--.----.
B -..-.--.-.--
淡 .-.-..--.-..
愁 --..--.--.-.
航 .....-.....-
垃 ....--------
米 .-...-.---..
教 -.------.--.
校 -..-....---.
缸 --...---.--.
还 .-...---..-.
息 ---..----..-
证 ----.--..--.
爹 .-..--.--.-.
达 -.--.------.
暖 ---.----.-..
尖 --..-..---..
额 .--.---...-.
肚 -..----.--.-
绘 ----.-.---..
遍 ..---.--.--.
迪 ---....--..-
毯 -..--.-.--.-
古 -----...-...
赴 -.-.----.-..
厂 --.---.--.--
酣 -..-----.--.
去 -----..--.--
疫 .--.--..----
滴 -..-..--..--
山 -..--...-.--
背 ---.--.----.
子 ....-...-.--
胡 -.-...--.---
阶 .---.----.-.
疲 -----.-.-.-.
秋 ..-----.....
劳 -..-...--...
浮 ..-..-....--
值 --.-.--.-...
擅 .-.-.----...
逞 -.-.-.-----.
珀 ....--.---.-
渎 .....-...--.
组 ...--.-..--.
撑 ..--.------.
多 --.--...----
呼 .---.--.....
毡 ---...-.----
哄 .----.-..-.-
孩 ...--------.
信 --.----..-.-
。 -....-.-...-
逮 ----.-..---.
外 -.---.--.-.-
饮 .-..-..--...
番 -----.....-.
间 ...---....--
逐 ...---.--..-
噎 ----.-..--.-
绿 -.-...--.-..
缚 ..-..--.....
伯 .----....--.
食 ---....-.-.-
r -----.-..---
饥 .-.-.-.-.-.-
忿 .--..--..-.-
源 --....-.--..
走 ...--.-.-...
幻 ----...----.
铰 ---....-----
阔 .-.-..-.-.-.
睛 -.-.---..--.
灵 ..-....-.-..
衫 -.-.......--
铲 --------.-.-
四 .------....-
用 .....-...-..
切 ...--...-...
狞 .---..--.-.-
扳 -.-.-.---.-.
感 ....--.----.
偷 ..-.--..----
挚 -..--.....-.
锋 ...-...-..-.
闻 ---.-....-..
焰 ...--.---..-
星 ----.--.-.--
印 .-.--.-.-..-
绑 --...-..--..
甸 ......-..-.-
莞 -.-..-.-.---
立 --.-.-.-..-.
收 ..-.---.....
给 -..-.-.---.-
觉 --.----.-...
表 .-.-.-.--.-.
尼 .-.-------.-
拇 ---.-...--.-
零 -----.-.----
轧 --.----.--..
肉 ---..--.....
隔 -------..-.-
耶 .--..-..----
涩 --...-..----
彼 ..---.--..--
卧 ----.--.-.-.
赔 .--.-..----.
熄 .....--.-..-
戮 --.-----.--.
控 -...-.----..
姿 .-.-........
意 ----..-----.
雷 -.-.-....---
刀 -.-..-.....-
碰 .-.--.-..---
构 --...-..-.--
愉 --.-.--....-
泥 ..-------..-
订 -.--..--.---
溶 .-.---.--.--
绷 .--..--...--
惨 .-...---.-..
折 -.--------..
晨 ---.--......
世 -.---.-.----
厩 ....-.-.-...
恬 .-..-----.-.
往 ....---.-...
搂 ..--.-.-....
恐 -..-.-------
窝 .--..--...-.
正 .-.--...---.
雪 -..-.-..-.--
幸 -----..----.
文 --.....-.--.
爆 ---.--..-..-
膨 -----.---...
, .--.-....-..
奖 .---.---.-.-
徘 -.-----.---.
位 -.-..-.--..-
犹 ....---.-.-.
呢 --..--.-.---
半 ..-.----.-..
案 -.--.--..-..
轻 ..------..--
费 ..-.-.----..
狠 .-......---.
遭 ---.--..----
促 --.--..--.--
男 -.-..---.--.
任 --.-.-...-.-
痒 -..---.---.-
咋 -.-.-...--..
测 ...-.-..--.-
帕 --..--------
凶 .-.---.---..
惊 ----.------.
卫 ...-.-...---
惑 ...-.-.-.-..
获 -----..-..-.
咳 ..---...-.--
捧 .-...-.-...-
— ...---..--..
喋 ----.--...-.
贼 -..-------.-
已 -.--...-....
救 --.------.--
邃 ....---..---
烛 .....---..-.
睁 ..-...---...
不 .-...----...
撂 .---.-..-.--
盈 ..-.-.--....
闭 ------.---..
章 ----...--.-.
呱 ..----...--.
侮 -.-.-...-..-
郡 ------.----.
嗽 --.--.-.-...
显 .-.--..---..
恋 .--..---..--
呷 .-.-.---....
谎 .----.--.---
程 ..--.-.-..--
剪 ...---.---.-
蔚 ....-.......
怩 .-..-...-...
奥 ..-...-...--
嗤 .-....--.---
童 -..-.-.-.-.-
杨 -..-...---..
直 .--..-.---..
望 -...--.--...
门 -..--.-----.
9 ..-.-----..-
穆 .-.-.-.--.--
廷 --.....-----
逛 -.......--.-
愈 ..------.-.-
悉 --.--.......
暂 ..-..-.---.-
且 -.-.--.---..
怯 ..--.-...---
冰 .--..-------
爸 -..---------
漪 --..---...--
船 ..-..-.....-
扈 -.-.-...-...
筋 ........--.-
燎 .-.-.-....-.
真 .-.--.-..-.-
寞 -...-....-.-
纷 --.--...--.-
优 .---..---...
憋 --.--..-...-
嘀 -..-..--.-..
归 .-----------
沿 ...--.-..-..
疹 ----.-----.-
滨 --..-..-.---
悠 .--...-.-.--
苍 --.---.--.-.
聊 ....-.-...--
丹 ...---.....-
形 -.-...-.--.-
窕 ..--..--...-
哦 -.----.---.-
篇 -.-..-..-..-
苦 ..-..--.-...
风 --.--.....-.
陨 --..---.-...
烂 .------.--..
柄 .---.-..-.-.
琢 .---.-.----.
货 .....---.---
蛛 --...----.--
蠢 .-....-.-..-
故 --.--.--.-..
厨 ....--....--
摩 ......-...--
叫 -.....-.--.-
称 ----.-.-..-.
缕 -....-..--..
梗 -...-.-...-.
舒 ......--.--.
想 ---..-.---..
吐 .-..--.-...-
揣 ..-...-..--.
察 -..---..-...
匹 --.---.-...-
极 -.-.-..-..--
酝 --...-.-....
悔 .--..--.--..
械 -..---......
翅 -.-.-.-.-.--
诱 .-.-.--.---.
伪 ---..---..--
掀 ----..-.-.-.
弱 .---....--..
咸 --...-..-..-
暮 -.---.-..--.
擤 .--..-.-..-.
幢 -....-.-.--.
涤 --..--..-..-
伸 .----..-.---
监 ..-.-.-..-.-
篮 .-----..-.-.
它 ...-.-.----.
埠 .-.-..-.----
锃 -----.--...-
异 -------...--
巴 -.--....--.-
释 --......----
皆 --.-..-.--.-
怎 .-..--.-.-..
乃 -..-.-.-...-
报 -..--.-..---
牢 -..-.-..-...
窥 -.-...-..--.
似 --..-.-.-...
丛 .---...-..-.
没 -...----.--.
耳 --...----.-.
铃 ....---..-.-
钱 ...-...-...-
缀 ----...-..-.
乏 -..--..--..-
但 .---..-..---
飞 -.-.-..----.
佣 ----.--.--.-
碌 ....--..-...
尘 .-...-....--
矜 -.---.-..-.-
民 ..-.---.-.--
嘟 --..-..--...
笺 ..---.-...-.
践 ..----..-.-.
伍 -......-.--.
提 -.-----.----
独 ....--.-...-
击 -...---..---
锅 .-.-..-.--.-
审 --..---..-.-
岂 .-...--.---.
杖 --....-.----
底 ..---....--.
秃 --.-.--.---.
顽 ..-..--.-..-
倩 ---...---.--
蓝 -..-..-.--.-
光 ....-.-.-.--
兴 -.....-...-.
帮 --....-.-..-
噪 ---.....-.-.
贬 .--.-..--.-.
叹 ---.-..---.-
兀 ..---.-.-...
海 -----.-...--
肥 ...-..--..-.
孱 -..-..-...-.
存 -....-------
旦 ----.-.....-
纰 .---.---..--
疚 ----.-.-----
托 -..-.-.----.
惚 .-..--.---..
炫 -..-.--..--.
诞 --.---..---.
聪 -...--.-....
知 .-..-.--.--.
库 -.---.-.--.-
呛 ...---..-.--
艺 -----.----..
饵 ...---...-.-
躁 ..------.---
什 .-.-...---..
使 -..-..--..-.
圃 ...--..-----
句 .-.-.-------
够 .-----.---.-
各 ---...-.-.-.
议 --.-..-.----
牙 ....---.-..-
咒 -...--.---.-
敞 --....--.-..
筏 -.-...-....-
泵 .---.--.-..-
害 ----.-.-.---
吼 .--..--.--.-
枚 ----.-......
铁 -.-...-...--
佛 ...-.---.---
行 --.---.---..
英 ...-.--..-..
檐 -.....-..---
棘 ...-.......-
工 -.-.-..--.--
围 .-.--..--.--
督 .--.-.---.--
踏 --.----.....
辞 ------.-.---
壶 .-.----....-
狗 .----...-.-.
矫 ..--..-..-.-
搬 --..-.--.---
熟 .......----.
蛙 -.-.-.----.-
瓣 ------..-.--
涛 .--.--.--...
糟 ---...--..-.
齑 .-.--...-.--
麦 .-...-.--..-
锣 -.--.---...-
壑 -...-.--..-.
红 --..----...-
猩 -----------.
看 .-....-.----
魔 ......-..---
踌 .-.-..-.---.
庸 .-....-.....
狰 -.---.--.---
猪 .-.---...--.
俱 ..--...--..-
遏 -.--.-..--.-
混 ...-.--.----
趴 -..--..-.-.-
摆 -.-..----.-.
触 ..-...-..---
锥 -----...----
技 ...----.----
猫 -.....--.-..
腆 --.-..-.....
浓 ---.--..--.-
’ ..-.-.--...-
签 ...----.---.
酱 -..-...-...-
堤 ----...-..--
灌 -.-..-..-...
摈 --.--..---..
唠 -...-...----
剑 .-......-..-
灰 --..--..--.-
k .---..-.-...
墅 .-.-...-.-..
曼 -...---.-.--
饰 -----...-.-.
条 .--.-.....--
爵 ---....---..
兜 --..-.--.-..
瞥 ---..-...-.-
吮 .-..-..--.-.
磨 ....-.--.---
私 ....--.-.-..
神 .-.-..------
肴 ..-.--..--..
露 ----.......-
据 .----.-.--.-
尴 .----.--.-.-
耷 .----...--.-
斗 ...---.-..-.
困 -.........-.
巾 ----..--...-
黑 .-..--....--
绪 -.--...-..--
套 --......--.-
橱 -.-.-.--.-.-
易 ..-..-..-...
趟 -.-.-..-..-.
烦 --...----...
良 ..---------.
峭 ---.-.---.-.
圆 ---..---..-.
扮 ..--..---...
腿 .--......---
调 -...-.-.....
政 ..--..-.---.
涟 -...-.-----.
盖 ......---...
循 ..--..--.---
仪 ..--.----..-
努 ...----.-.--
魄 .-.-.....--.
耀 ....-.....-.
复 ---.-..--...
试 ...-..---...
固 --..--..-.--
防 .---..-.-.--
展 ....-.---.--
养 ...-......-.
联 ..--.--..-..
舵 .--..-----.-
短 ..-..---.--.
琴 ----.-....--
锐 ...--...-.-.
坐 ..--.-..--..
遥 --..--...---
重 .--.-..---.-
削 --..---.--.-
廓 -..-----....
胶 --.-.--..-.-
论 .---.-....--
可 -.----.--..-
夷 --.-.--..---
炒 .-.----.-.-.
饶 ..-..--.-.--
酉 ....-.-..--.
勒 .--.-..--...
颊 .--.-.-..-..
整 -.--.-..---.
陈 ..-..----.--
投 ---.-..---..
乡 ..--.--.--.-
棍 -.---.--...-
止 ...--.--.---
首 -........---
岩 ------.--.--
美 .....-..-..-
浆 --..--..----
糊 -...--.-..-.
鱼 .--..---.---
置 .-..---.---.
奇 -------....-
怜 -..----..---
砰 -.---.-.-...
传 -.-.-.-..-..
妄 .-.--.....--
须 -..-...-.-..
周 -..-.-.-.---
兰 -..--.-...--
梧 .---.--...--
妇 ......--...-
克 --.--.-.-.-.
踱 ---.--.--...
宵 .-.-.-.-...-
生 ---......---
袜 ---.-.--.-..
明 -.-..----...
玲 ...--.-.---.
冬 ---..----.-.
仁 ..-.-.-...--
踯 ...--....-.-
岬 ..-.-.......
屉 -..-...-..--
藓 ..------.-..
垂 -.--.......-
滞 -.-.--.---.-
* .....---.--.
镇 --.-.....-..
备 ...-.-.-...-
诺 .-.-.---.-..
剖 ---..--...-.
糖 ..---.----.-
詹 .---..-.-..-
根 -.--.-...---
静 ...--.-..-.-
顶 ...------.-.
泌 .-..--.--...
刚 ..-..-.--.-.
付 ..--..-..---
旁 -.----...-.-
哽 ......--..-.
懵 -.---.---..-
尬 -.-.--..----
氅 -.-.---.----
扁 -...-...-...
吹 -.----...-..
威 ....--..-.-.
十 ------..-...
哩 --..--.-.--.
某 -.-.---.-..-
涌 ---.----..-.
厅 .-.-.----.--
派 -.-.-.-.--.-
演 ..--.-------
昌 .-.-----...-
跋 .-..-.-.---.
憩 .-.-..-..---
耸 .--.--.-...-
蛾 -...-----..-
吾 --...-..---.
汉 .-.---.-----
云 --.--.---.--
有 -.-.-------.
虫 ...-..--..--
免 .--.---.----
田 -.---.......
森 --.--.--.--.
笑 ..---.-....-
消 -.--...---..
非 ..----...-.-
坡 --...-------
E ...---.-...-
h ---...-.-.--
绣 -.......-...
痕 -.-.-....-..
嘘 -.-.---..-.-
结 ....--.-.--.
种 ..-..-.---..
诚 ---.---.----
藉 --...-.-..-.
喔 .----.--...-
撬 -..-..-..-..
桶 --....-.---.
住 -------..---
粥 .--.-...---.
低 -.-........-
谢 .---...-----
吩 ....--..-..-
识 ..-.-.-.....
羊 -.-..-.-....
砌 -.--.--.....
自 -.-----..-.-
吃 ---.-.--.-.-
憨 -...-.--....
驾 ..---....-..
穹 ..--..-.--..
划 .-.--.-.....
量 ..---..----.
变 ---.--...---
旨 -..----...-.
眸 --...---...-
药 -...--.-...-
柔 .-.-..--..-.
》 .-.-.-.-----
躲 ---.---.-.--
昔 .---------..
态 ...--....---
戚 .-----.--.--
挽 -.------...-
颜 .....-----.-
忖 ----.-..-...
峻 --.-..--....
钝 .---.-----.-
祖 --.-......--
同 ..---..-.-..
每 .---.--.--..
骇 .-.---.--.-.
耽 ---...-.--..
涡 --....--..-.
衔 -.---.---...
懂 ---..-...-..
M ..-..-.-..-.
先 -..-.--.---.
法 -.--.--.-..-
江 ..-..--..--.
雕 -...-....-..
希 .-.-----..--
阵 -....--...-.
骸 ..--.--..---
蒂 --.-..---.--
府 -.-...--.-.-
预 ...-..---.--
膳 .--.---.--.-
v ----..----.-
念 ----....---.
泪 .---..---.--
烧 ---.--.....-
幼 -....----.--
奈 --..--.-..--
， ..-.--.--.--
攻 -...--.--.-.
役 .--..-.---.-
汹 .-.-.-..-...
炖 ..-.--------
占 --...-....-.
拍 -...-----...
择 .-....-..-.-
员 .-....-..---
媚 .-.-.---.--.
我 --.-..--..-.
则 ..--.-.....-
会 ---.--.-.--.
木 .----..-----
罪 -.-.-.--.---
栏 -----...--..
兢 ..--.---.---
窿 ..-..-..-..-
留 ..-----..--.
氧 -.---.-...--
织 ....--...-.-
浏 ..---.-..-.-
散 .---..-.----
n ----..------
剥 .-..----..-.
八 -..----.---.
肪 ....-..-..-.
鹃 ---.---.--.-
e -..-...-.--.
玻 .--.---..--.
紫 -.--.-.---..
雁 -..-.--.....
眼 .-.-.-.-..--
效 -.-..--.---.
雨 .---.-.--.--
赌 .-...---..--
奸 --.--..--..-
装 -.-.-----..-
委 --..-.-.-.--
断 .-..-.-.....
芦 .-..---.-.-.
旅 -.--.---..-.
伏 -....-.-.-..
播 .-.----.-...
鞠 ..--.--..--.
慰 --.-..--.---
荒 ...-.--.-.-.
轰 -....-....-.
尚 -..-.---.-..
买 -.-.--.-..--
卸 .--....-...-
啮 ...--.----.-
师 ..--..------
伦 .-....-...--
捏 -...--..-.--
爪 .---.-.-.-.-
黄 --....---..-
咕 .---.-.-..--
颇 -..---.-.-..
抑 .--.--..-...
贤 ---.--..--..
塑 .--..-...-.-
怖 .....--.-...
桥 -.--.--...-.
撇 -.-.-.......
龛 .-......----
拖 -.-.-..-...-
销 --..--....--
编 ------....-.
特 ..-.----.---
咧 .--.----.--.
茫 ..-....-----
万 ---..--.-...
噤 ......--..--
训 ..--.-.-.-..
昏 -.-...--...-
窗 -....----.-.
碗 -.---..----.
累 --......--..
蹄 -.--.....---
类 ...--.---...
健 .-..---.--.-
逻 --...-.-----
警 -......-.-.-
碍 -----.--..-.
竖 -...---.....
唱 -----.....--
需 .-..-..-.-..
y .--..------.
乖 .--.-...----
牛 --.---.-..--
手 ...-.-.---.-
怕 .----...-...
在 ...-----...-
汤 -.--.--..---
饱 .-..---...-.
席 .-----..--..
稍 -.--..----..
链 ....--.--.-.
汪 ...-.-.-....
笼 ------..-..-
待 .--..-.----.
实 -....-..-...
眺 ...--.....--
韦 ----.-...---
